"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
2057278,"July 8, 2021",California,Tulare,"Gemini St",1,0,N/A
2057472,"July 8, 2021",Mississippi,Jackson,"Coronet Pl and Cummins St",1,0,N/A
2056068,"July 7, 2021","West Virginia",Clarksburg,"N 1st St",1,0,N/A
2055926,"July 7, 2021",Tennessee,Goodlettsville,"100 block of Elizabeth Ct",1,0,N/A
2055374,"July 6, 2021",Colorado,"Manitou Springs","141 Manitou Ave",1,0,N/A
2055057,"July 6, 2021",Virginia,Halifax,"5100 block of Halifax Rd",1,0,N/A
2056708,"July 6, 2021",Texas,Richmond,"1930 Rocky Falls",1,0,N/A
2053921,"July 5, 2021",Kansas,Lenexa,"12445 W 97th Ter",1,0,N/A
2053255,"July 4, 2021",Tennessee,Knoxville,"3900 block of Alma Ave",1,0,N/A
2054915,"July 3, 2021",Texas,Tyler,"323 Chimney Rock Dr",1,0,N/A
2052995,"July 3, 2021",Virginia,Bedford,"900 block of Burks Hill Rd",1,0,N/A
2052146,"July 3, 2021",Virginia,Richmond,"4521 S Laburnum Ave",1,1,N/A
2052603,"July 3, 2021",California,"Chula Vista","530 Telegraph Canyon Rd",1,0,N/A
2051232,"July 2, 2021","North Carolina",Tarboro,"2200 block of Sherwood Ave",1,0,N/A
2051982,"July 2, 2021",Texas,"El Paso","900 block of S Tays St",1,0,N/A
2053259,"July 2, 2021","South Carolina",Charleston,"100 block of Ivy Green Way",1,0,N/A
2051739,"July 2, 2021",Florida,Jacksonville,"3800 block of Emerson St",1,0,N/A
2050257,"July 1, 2021",Ohio,Columbus,"462 S Eureka Ave",1,0,N/A
2051370,"July 1, 2021",Missouri,"West Plains","Co Rd 3010",1,0,N/A
2050397,"July 1, 2021",Pennsylvania,Philadelphia,"5500 block of Whitby Ave",1,0,N/A
2050433,"June 30, 2021",Missouri,"Saint Louis (Jennings)","5400 block of Hamilton Ave",1,0,N/A
2050250,"June 30, 2021",Michigan,Kalamazoo,"5700 block of Higgins St",2,0,N/A
2048932,"June 29, 2021",Alabama,Mobile,"2602 Florida St",1,0,N/A
2048113,"June 29, 2021",Maryland,Annapolis,"Pleasant St",1,0,N/A
2048839,"June 29, 2021","District of Columbia",Washington,"1400 block of R St NW",1,0,N/A
2047178,"June 27, 2021",Tennessee,Millington,"Currie Rd",1,0,N/A
2045816,"June 26, 2021",California,Fresno,"Clinton Ave and Crystal Ave",1,0,N/A
2045611,"June 26, 2021",Georgia,Atlanta,"215 Piedmont Ave NE",1,2,N/A
2045972,"June 26, 2021",Pennsylvania,Philadelphia,"1400 block of W Pacific St",1,0,N/A
2045920,"June 25, 2021",Arizona,Tempe,"S 48th St and E Broadway Rd",1,0,N/A
2045116,"June 25, 2021",Virginia,"Virginia Beach","1300 block of Crane Crescent",1,0,N/A
2045604,"June 25, 2021",Illinois,Burbank,"8300 block of Laramie Ave",1,0,N/A
2046188,"June 25, 2021",Georgia,Dublin,"Mimosa Dr",1,0,N/A
2044225,"June 24, 2021",Michigan,Kalamazoo,"1100 block of Lake St",1,0,N/A
2051643,"June 24, 2021",Illinois,Zion,"3000 block of Elim Ave",1,0,N/A
2044303,"June 24, 2021",Kentucky,Hopkinsville,"100 block of Plum St",1,0,N/A
2042281,"June 22, 2021",Michigan,Detroit,"15200 block of Rochelle Ave",1,0,N/A
2042475,"June 20, 2021",Texas,Houston,"3801 Omeara St",1,0,N/A
2039532,"June 19, 2021",Illinois,Chicago,"3301 W North Ave",1,0,N/A
2039861,"June 19, 2021",Texas,Dallas,"3500 block of Dixon Ave",1,0,N/A
2042046,"June 19, 2021","New Jersey",Bridgeton,"300 block of Atlantic St",1,0,N/A
2038033,"June 17, 2021",Louisiana,"Baton Rouge","Ford St and Mickens Rd",1,0,N/A
2037995,"June 17, 2021",Maine,Temple,"15 Forest Hill Rd",1,0,N/A
2037273,"June 16, 2021",Oregon,Beaverton,"SW Alger Ave and SW 14th St",1,0,N/A
2035964,"June 15, 2021",Florida,Jacksonville,"10300 block of Allene Rd",1,0,N/A
2036173,"June 14, 2021",Oklahoma,Tulsa,"N Garnett Rd and E Admiral Pl",1,0,N/A
2034643,"June 13, 2021",Texas,"Grand Prairie","2300 block of Dalworth St",1,0,N/A
2033799,"June 12, 2021",Kansas,Topeka,"1700 block of SE 31st St",1,0,N/A
2032475,"June 12, 2021",Florida,"Fort Lauderdale (Sunrise)","12801 W Sunrise Blvd",1,0,N/A
2029078,"June 8, 2021",Tennessee,Nashville,"Clarksville Pike and Buena Vista Pike",1,3,N/A
2029899,"June 8, 2021",Virginia,"Church Road","7400 block of Colemans Lake Rd",1,0,N/A
2028374,"June 8, 2021",Illinois,Chicago,"2200 block of N Marmora Ave",1,0,N/A
2027097,"June 6, 2021",Florida,"Miami Beach","I-195 and Alton Rd",1,0,N/A
2025578,"June 5, 2021",Minnesota,Minneapolis,"E Lake St and Hiawatha Ave",1,0,N/A
2026879,"June 5, 2021",Texas,Houston,"1450 block of Oxford Meadow Dr",1,0,N/A
2027081,"June 5, 2021",Iowa,Raymond,"110 Hillcrest St",1,0,N/A
2030497,"June 4, 2021",Wisconsin,Whitewater,"304 N Tratt St",1,0,N/A
2025297,"June 4, 2021",Texas,Dallas,"1400 block of Stardale Ln",1,0,N/A
2025180,"June 4, 2021",Virginia,"Oak Hall","28000 block of Withams Rd",1,0,N/A
2022551,"June 2, 2021",Illinois,Joliet,"201 S Eastern Ave",1,0,N/A
2023091,"June 2, 2021",Mississippi,Canton,"117 S Hargon St",1,0,N/A
2022188,"June 1, 2021",Texas,"Lumberton (Rose Hill Acres)","4940 US 69",1,0,N/A
2021159,"May 30, 2021",Kentucky,Radcliff,N/A,1,0,N/A
2022433,"May 30, 2021",Pennsylvania,Coatesville,"300 block of Community Ln",1,0,N/A
2018972,"May 29, 2021","New York",Brooklyn,"1971 Pacific St",1,0,N/A
2019331,"May 29, 2021",Oklahoma,Tulsa,"2186 S 99th E Ave",1,0,N/A
2019036,"May 28, 2021",Georgia,Jackson,"School St and Jackson St",1,1,N/A
2019508,"May 28, 2021",Maryland,"Fort Washington","10100 block of Old Fort Rd",1,0,N/A
2018559,"May 27, 2021",Iowa,Waterloo,"1433 Byron Ave",1,0,N/A
2016573,"May 26, 2021",Utah,"Salt Lake City (West Valley City)","Hyannis Ave",1,0,N/A
2015797,"May 26, 2021",Arizona,Mesa,"1120 S Sycamore Rd",1,0,N/A
2023336,"May 25, 2021","West Virginia",Kearneysville,"3354 Charles Town Rd",1,0,N/A
2018311,"May 23, 2021",Texas,Waller,"1600 block of Bowler Rd",1,1,N/A
2014514,"May 23, 2021",Texas,Austin,"9705 Reservoir Ct",1,0,N/A
2011610,"May 22, 2021",Indiana,"Fort Wayne","2177 Eden St",1,4,N/A
2014683,"May 22, 2021",Mississippi,Waynesboro,"White Oak St",1,0,N/A
2011139,"May 21, 2021",Texas,"Fort Worth","1513 E Presidio St",2,0,N/A
2011077,"May 21, 2021","New York",Albany,"1st St and Quail St",1,5,N/A
2009582,"May 20, 2021",Indiana,Indianapolis,"3400 block of N Leland Ave",1,0,N/A
2009451,"May 19, 2021",Illinois,Chicago,"1700 block of E 71st St",2,0,N/A
2010015,"May 19, 2021",Maryland,Laurel,"3400 block of Laurel Fort Meade Rd",1,0,N/A
2008789,"May 19, 2021",Michigan,Detroit,"1555 Outer Dr E",1,2,N/A
2008856,"May 18, 2021","South Carolina",Hartsville,"900 Block of Clearview Dr",1,0,N/A
2008034,"May 18, 2021",Texas,Houston,"17100 block of Hilton Hollow Dr",1,0,N/A
2009257,"May 18, 2021",Ohio,Galion,N/A,1,0,N/A
2006594,"May 17, 2021",Alabama,Maylene,"308 Goldilocks Ln",1,0,N/A
2011809,"May 17, 2021",Florida,Brooker,"1307 NW 223rd Ln",1,0,N/A
2007416,"May 17, 2021",Minnesota,Minneapolis,"N 35th Ave and Penn Ave N",1,1,N/A
2006294,"May 16, 2021",Arizona,Tempe,"S Rural Rd and E Baseline Rd",1,0,N/A
2006304,"May 16, 2021",Michigan,Edwardsburg,"69000 block of Maple St",1,0,N/A
2005169,"May 15, 2021",Pennsylvania,Archbald,"600 Block of Salem Rd",1,1,N/A
2005217,"May 15, 2021",Minnesota,Minneapolis,"2200 block of Ilion Ave N",1,0,N/A
2004922,"May 14, 2021",Ohio,Columbus,"2300 block of Sunbury Rd",1,0,N/A
2010265,"May 14, 2021",Texas,Waco,"1700 Dallas Cir",1,0,N/A
2003588,"May 13, 2021",Missouri,Union,"700 block of Star Circle",1,0,N/A
1999805,"May 8, 2021",Illinois,"Hazel Crest","17600 block of Arlington Ln",1,0,N/A
1999088,"May 8, 2021",Wisconsin,Milwaukee,"3214 W Michigan St",1,0,N/A
1997489,"May 7, 2021",Florida,Pensacola,"4101 W Navy Blvd",1,0,N/A
1998108,"May 7, 2021",Florida,Clewiston,"940 W Sugarland Hwy",1,1,N/A
1996148,"May 4, 2021",Pennsylvania,"East Stroudsburg","2000 block of Vista Cir",1,0,N/A
1994331,"May 3, 2021",Illinois,"East Saint Louis (Cahokia)","1300 block of Saint Stephens Dr",1,0,N/A
1993916,"May 2, 2021",Texas,Houston,"10010 Antoine Dr",1,0,N/A
1993824,"May 2, 2021","West Virginia",Beckley,"500 block of Terrill St",1,0,N/A
1996618,"May 2, 2021",Kansas,Wichita,"800 block of S Terrace Dr",1,0,N/A
1994086,"May 2, 2021",California,Keyes,"Martha Ave and 7th St",1,0,N/A
1991688,"April 30, 2021",Alabama,"Hazel Green","Butter and Egg Rd",1,0,N/A
1988688,"April 27, 2021",Virginia,Richmond,"4000 Midlothian Turnpike",2,3,N/A
1987755,"April 26, 2021",Texas,"Grand Prairie","2300 block of May Ln",1,0,N/A
1989036,"April 26, 2021",Alaska,Nightmute,N/A,1,0,N/A
1989066,"April 26, 2021",Tennessee,Memphis,"5001 Airways Blvd",1,0,N/A
1987653,"April 25, 2021",Texas,Dallas,"4300 block of Duncanville Rd",1,0,N/A
1986575,"April 25, 2021",Arizona,Phoenix,"4270 W Thomas Rd",1,0,N/A
2045922,"April 25, 2021","New Mexico",Ruidoso,"901 Mechem Dr",1,0,N/A
1987006,"April 25, 2021",Florida,"Fort Myers","3513 Fowler St",1,1,N/A
1987107,"April 25, 2021",Washington,"Federal Way","27900 block of Pacific Hwy S",1,0,N/A
1986906,"April 24, 2021","North Dakota",Cando,N/A,1,0,N/A
1985267,"April 23, 2021",Missouri,"Kansas City","2900 block of Lockridge Ave",1,0,N/A
1984099,"April 21, 2021",Arizona,Phoenix,"19th Ave and Peoria Ave",1,1,N/A
1983532,"April 21, 2021",Texas,Houston,"12800 block of Flagstaff Ln",1,0,N/A
1984361,"April 21, 2021",Tennessee,Nashville,"3800 Clarksville Pike",1,0,N/A
1984097,"April 20, 2021",Texas,"Fort Worth","6200 block of Salem Trl",1,0,N/A
1983157,"April 19, 2021",Alabama,Huntsville,N/A,1,0,N/A
1982106,"April 19, 2021",Arizona,Tucson,"4400 block of S 4th Ave",1,0,N/A
1981570,"April 18, 2021",Nevada,Henderson,"130 Par Excellence Dr",1,1,N/A
1981295,"April 18, 2021",Texas,"Fort Worth","1645 Lake Shore Dr",1,0,N/A
1980492,"April 17, 2021",Ohio,Columbus,"5001 Chatterton Rd",1,5,N/A
1978358,"April 14, 2021",Kansas,Leavenworth,"426 Delaware St",1,0,N/A
1977316,"April 14, 2021",Georgia,Norcross,"3400 block of Holcomb Bridge Rd",1,0,N/A
1975927,"April 12, 2021",Tennessee,Nashville,"25th Ave N and Dowlan St",1,3,N/A
1974999,"April 11, 2021",Texas,Dallas,"2827 S Buckner Blvd",1,0,N/A
1975373,"April 11, 2021",Florida,Jacksonville,"4000 Block of Jeb Stuart Ln",1,0,N/A
1974431,"April 11, 2021",Connecticut,Meriden,"W Main St",1,0,N/A
1974075,"April 10, 2021",Massachusetts,Boston,"19 Olney St",1,0,N/A
1973985,"April 10, 2021",Connecticut,Hartford,"182 Nelson St",1,0,N/A
1974161,"April 10, 2021",Texas,Houston,"6200 W Tidwell Rd",1,0,N/A
1972954,"April 9, 2021",Texas,Houston,"3130 Crestdale Dr",1,0,N/A
1973294,"April 8, 2021",Oklahoma,"Oklahoma City","600 block of SE 22nd St",1,0,N/A
1972569,"April 8, 2021",Oklahoma,"Oklahoma City","NE 29th St and N Martin Luther King Ave",1,0,N/A
1972352,"April 8, 2021",Virginia,Richmond,"2394 Afton Ave",1,0,N/A
1971583,"April 7, 2021",Arkansas,Blytheville,"Walls St and Denny St",1,1,N/A
1973320,"April 7, 2021",Michigan,"Mount Pleasant","7183 Bellevue Dr",1,0,N/A
1971171,"April 7, 2021",Louisiana,Baker,"4400 block of Breckenridge Dr",1,0,N/A
1972434,"April 7, 2021",Kentucky,Hopkinsville,"Prosperity Ln",1,0,N/A
1973662,"April 7, 2021",Texas,Dallas,"1810 High Hill Blvd",1,0,N/A
1970179,"April 5, 2021",Michigan,Monroe,"6000 block of Greenwycke Ln",1,0,N/A
1970336,"April 5, 2021",Arizona,"Fort Mohave","Cavalry Rd and Dunlap Rd",1,0,N/A
1968887,"April 4, 2021",Alabama,Birmingham,"3969 14th Ave N",1,5,N/A
1970173,"April 3, 2021",Michigan,Flint,"2900 block of Henry St",1,0,N/A
1967934,"April 3, 2021",California,Lancaster,"44654 18th St W",1,0,N/A
1969109,"April 3, 2021",Vermont,Rutland,"253 S Main St",1,0,N/A
1967912,"April 2, 2021",Texas,Edcouch,"22000 block of Mile 5 1/2 Rd  W",1,0,N/A
1965972,"March 31, 2021",Kansas,"Kansas City","6400 block of Farrow Ave",1,0,N/A
1996775,"March 31, 2021",Florida,Englewood,"Euler Ave",1,0,N/A
1966989,"March 31, 2021","North Carolina",Greenville,"1100 block of Van Dyke St",1,0,N/A
1966371,"March 30, 2021",Georgia,"Mount Zion","Bowdon Junction Rd",1,0,N/A
1966235,"March 30, 2021",Virginia,Smithfield,"900 block of John Rolfe Dr",1,0,N/A
1966375,"March 30, 2021",Illinois,Oswego,"800 block of Columbus Dr",1,0,N/A
1964480,"March 29, 2021",Texas,"San Antonio","8000 Oakdell Way",1,0,N/A
1963712,"March 27, 2021",Pennsylvania,"Wilkes Barre","72 Lloyds Ln",1,0,N/A
1963070,"March 26, 2021",Virginia,Petersburg,"1400 block of Talley Ave",1,0,N/A
1962905,"March 26, 2021",Virginia,"Virginia Beach","300 block of 19th St",1,0,N/A
1964419,"March 26, 2021",Virginia,Halifax,"Clays Mill School Rd",1,0,N/A
1962699,"March 26, 2021",Pennsylvania,Monroeville,"120 Cambridge Square Dr",1,0,N/A
1962820,"March 26, 2021",Ohio,Columbiana,"300 block of Quincy Ave",1,0,N/A
1960348,"March 23, 2021",Florida,Tallahassee,"2849 Apalachee Pkwy",1,1,N/A
1959615,"March 22, 2021",Nevada,"Las Vegas","2650 Las Vegas Blvd S",1,0,N/A
1959738,"March 22, 2021",Missouri,"Elk Creek","Nagle Dr",1,0,N/A
1957906,"March 20, 2021",Wisconsin,Milwaukee,"5900 block of N 76th St",1,0,N/A
1957701,"March 20, 2021",Louisiana,Shreveport,"4911 Monkhouse Dr",1,1,N/A
1958776,"March 17, 2021","New York",Kingston,"358 Broadway",1,0,N/A
1955301,"March 17, 2021",Georgia,Columbus,"2300 block of Avalon Dr",1,0,N/A
1955409,"March 17, 2021",Tennessee,Antioch,"3000 block of Rock Creek Dr",1,0,N/A
1954467,"March 16, 2021",Virginia,Richmond,"3700 block of Angela Dr",1,0,N/A
1952746,"March 13, 2021",Texas,Waco,"937 S 11th St",1,1,N/A
1951655,"March 12, 2021","New York","Corona (Queens)","Broadway and 48th St",1,0,N/A
1951793,"March 12, 2021",Minnesota,Gaylord,"27497 451st Ave",1,0,N/A
1953474,"March 12, 2021","New York",Newburgh,N/A,1,0,N/A
1948712,"March 8, 2021",Texas,Dallas,"10325 Lake June Rd",1,0,N/A
1949918,"March 8, 2021",Oregon,Bonanza,"Bongo Ln",1,0,N/A
1947184,"March 7, 2021",Tennessee,Cleveland,"1585 Spring Place Rd SE",1,0,N/A
1947365,"March 7, 2021",Oklahoma,"Broken Arrow","S Garnett Rd and E 121st St S",1,0,N/A
1946173,"March 6, 2021",Ohio,Nelsonville,"Walnut St",1,0,N/A
1946228,"March 6, 2021",Iowa,"Des Moines","2300 block of Martin Luther King Junior Pkwy",1,0,N/A
1947107,"March 6, 2021",Texas,Bellaire,"4439 Bissonnet St",1,0,N/A
1946948,"March 6, 2021",Michigan,Lansing,"600 block of N Fairview Ave",1,0,N/A
1947131,"March 6, 2021","New Mexico","Los Lunas","W Brazaro and Carmel Rd",1,0,N/A
1947126,"March 5, 2021",Texas,Mckinney,"1900 block of Grassmere Ln",1,0,N/A
1944102,"March 3, 2021",Mississippi,Greenwood,"Nelson St and Wilczinski St",1,0,N/A
1946200,"March 2, 2021",Indiana,"New Albany","Wayne St",1,0,N/A
1942461,"March 1, 2021",Ohio,Toledo,"1500 block of Nevada St",2,0,N/A
1944255,"March 1, 2021","New Mexico",Taos,"Salazar Rd",1,0,N/A
1942559,"March 1, 2021",Illinois,Chicago,"100 block of W 127th St",1,1,N/A
1942345,"February 28, 2021",Ohio,Warren,"3178 Starlite St",1,0,N/A
1941245,"February 27, 2021",Michigan,"Saint Johns","500 block of E State St",1,0,N/A
1944084,"February 27, 2021",Mississippi,Waveland,"301 Herlihy St",1,0,N/A
1940665,"February 27, 2021",Washington,Othello,"300 block of Hamlet St",1,0,N/A
1943056,"February 26, 2021",Texas,"El Paso","1925 Detroit Ave",1,0,N/A
1939861,"February 26, 2021",Kansas,Hays,"2000 block of 200th Ave",1,0,N/A
1936985,"February 23, 2021",Tennessee,"Grand Junction","Pearl Rd",1,0,N/A
1936994,"February 22, 2021",Washington,Lakewood,"8600 block of Steilacoom Blvd SW",1,0,N/A
1939110,"February 21, 2021","New Mexico",Roswell,"50 block of B St",1,0,N/A
1945065,"February 21, 2021","South Carolina",Greer,N/A,1,0,N/A
1937262,"February 21, 2021",Colorado,Lafayette,"400 block of W Oak St",1,0,N/A
1937559,"February 20, 2021",Missouri,Fayette,"106 College St",1,0,N/A
1936034,"February 20, 2021",Georgia,Calhoun,"136 W Belmont Dr",1,0,N/A
1935061,"February 20, 2021",Louisiana,"Baton Rouge","12529 Coursey Blvd",1,0,N/A
1931897,"February 17, 2021",Tennessee,Clarksville,"3400 block of Pembroke Rd",1,0,N/A
1931260,"February 17, 2021",Missouri,"Kansas City","1900 block of W Pennway Ter",2,1,N/A
1931297,"February 16, 2021",Illinois,Chicago,"829 W 31st St",1,0,N/A
1931422,"February 16, 2021",California,"Los Angeles","13100 block of San Pedro St",1,0,N/A
1930390,"February 15, 2021","North Carolina",Cornelius,"19301 Meridian St",1,1,N/A
1929314,"February 15, 2021",Maryland,Baltimore,"4400 block of Moravia Ave",1,0,N/A
1950259,"February 14, 2021",Michigan,Lansing,"3435 W St Joseph St",1,0,N/A
1928908,"February 14, 2021",Pennsylvania,"Harrisburg (Swatara)","2900 block of Sycamore St",1,0,N/A
1929156,"February 14, 2021",Georgia,Macon,"204 Chambers Cove Dr",1,0,N/A
1928984,"February 14, 2021",Arizona,Phoenix,"7611 W Thomas Rd",1,2,N/A
1928896,"February 13, 2021",Alabama,Tuskegee,"508 Pleasant Springs Dr",1,0,N/A
1926842,"February 10, 2021",Georgia,Columbus,"1270 Carmel Dr",1,0,N/A
1927921,"February 10, 2021",Kentucky,"Latonia (Taylor Mill)","Knollwood Dr",1,0,N/A
1925681,"February 10, 2021",Tennessee,Nashville,"800 block of Claiborne St",1,0,N/A
1924171,"February 8, 2021",Idaho,"Idaho Falls","Tendoy Dr and Syringa Dr",1,0,N/A
1926689,"February 7, 2021",Tennessee,Memphis,"S Danny Thomas Blvd and Mississippi Blvd",1,1,N/A
1923411,"February 7, 2021",Michigan,Pontiac,"300 block of N Perry St",1,0,N/A
1923715,"February 6, 2021","North Carolina",Elon,"Altamahaw Church St",1,0,N/A
1923224,"February 6, 2021","North Carolina",Hollister,"Bobolink Trl",1,0,N/A
1920755,"February 3, 2021",Pennsylvania,"Kingston (Edwardsville)","Tobin Ln and Francis St",1,0,N/A
1920639,"February 3, 2021",Louisiana,Shreveport,"700 block of Bernice Cir",1,0,N/A
1919003,"February 2, 2021",Michigan,Metamora,"3660 S Lapeer Rd",1,0,N/A
1918965,"February 2, 2021",Georgia,Concord,"44 4th St",1,0,N/A
1921789,"February 2, 2021",Florida,"Opa Locka","NW 132nd St and NW 28th Ave",1,0,N/A
1918452,"February 1, 2021","West Virginia",Lester,"Burma Ln",1,0,N/A
1917342,"January 31, 2021","North Carolina",Greensboro,"1000 block of Fir Place",1,0,N/A
1915359,"January 29, 2021",Mississippi,Ellisville,"400 block of New Hope Road",1,0,N/A
1915391,"January 29, 2021",Georgia,Macon,"2336 Ballard Dr",1,0,N/A
1914174,"January 27, 2021",Tennessee,Knoxville,"Shelbourne Rd and Washington Pike",1,0,N/A
1913552,"January 27, 2021",Tennessee,Memphis,"136 E McKellar Ave",1,0,N/A
1913701,"January 27, 2021",Ohio,Cincinnati,"200 block of N Cooper Ave",1,0,N/A
1912954,"January 26, 2021",Texas,Houston,"2219 Laurel Creek Dr",1,0,N/A
1911305,"January 25, 2021",California,Davis,"44643 CR 29",1,0,N/A
1911944,"January 25, 2021","North Carolina",Engelhard,N/A,1,0,N/A
1914127,"January 23, 2021",Texas,Blum,"1300 block of TX-174",1,0,N/A
