,1990,1992,1994,1996,1998,2000
State,Legis Comp.,Legis Comp.,Legis Comp.,Legis Comp.,Legis Comp.,Legis Comp.
Alabama,Dem,Dem,Dem,Dem,Dem,Dem
Alaska,Split,Split,Rep,Rep,Rep,Rep
Arizona,Rep,Rep,Rep,Rep,Rep,Split
Arkansas,Dem,Dem,Dem,Dem,Dem,Dem
California,Dem,Dem,Dem,Dem,Dem,Dem
Colorado,Rep,Rep,Rep,Rep,Rep,Split
Connecticut,Dem,Dem,Dem,Dem,Dem,Dem
Delaware,Split,Split,Split,Split,Split,Split
Florida,Dem,Split,Split,Rep,Rep,Rep
Georgia,Dem,Dem,Dem,Dem,Dem,Dem
Hawaii,Dem,Dem,Dem,Dem,Dem,Dem
Idaho,Split,Rep,Rep,Rep,Rep,Rep
Illinois,Dem,Split,Split,Split,Split,Split
Indiana,Split,Split,Split,Split,Split,Split
Iowa,Dem,Dem,Split,Rep,Rep,Rep
Kansas,Split,Split,Rep,Rep,Rep,Rep
Kentucky,Dem,Dem,Dem,Dem,Dem,Split
Louisiana,Dem,Dem,Dem,Dem,Dem,Dem
Maine,Dem,Dem,Dem,Dem,Dem,Split
Maryland,Dem,Dem,Dem,Dem,Dem,Dem
Massachusetts,Dem,Dem,Dem,Dem,Dem,Dem
Michigan,Split,Split,Split,Split,Rep,Rep
Minnesota,Dem,Dem,Dem,Dem,Split,Split
Mississippi,Dem,Dem,Dem,Dem,Dem,Dem
Missouri,Dem,Dem,Dem,Dem,Dem,Split
Montana,Split,Split,Rep,Rep,Rep,Rep
Nebraska,NA,NA,NA,NA,NA,NA
Nevada,Split,Split,Split,Split,Split,Split
New Hampshire,Rep,Rep,Rep,Rep,Split,Rep
New Jersey,Dem,Rep,Rep,Rep,Rep,Rep
New Mexico,Dem,Dem,Dem,Dem,Dem,Dem
New York,Split,Split,Split,Split,Split,Split
North Carolina,Dem,Dem,Dem,Dem,Dem,Dem
North Dakota,Split,Split,Rep,Rep,Rep,Rep
Ohio,Split,Split,Rep,Rep,Rep,Rep
Oklahoma,Dem,Dem,Dem,Dem,Dem,Dem
Oregon,Dem,Split,Rep,Rep,Rep,Rep
Pennsylvania,Split,Split,Rep,Rep,Rep,Rep
Rhode Island,Dem,Dem,Dem,Dem,Dem,Dem
South Carolina,Dem,Dem,Split,Split,Split,Split
South Dakota,Rep,Split,Rep,Rep,Rep,Rep
Tennessee,Dem,Dem,Dem,Dem,Dem,Dem
Texas,Dem,Dem,Dem,Split,Split,Rep
Utah,Rep,Rep,Rep,Rep,Rep,Rep
Vermont,Split,Split,Split,Split,Dem,Split
Virginia,Dem,Dem,Dem,Split,Split,Rep
Washington,Split,Dem,Split,Split,Split,Split
West Virginia,Dem,Dem,Dem,Dem,Dem,Dem
Wisconsin,Dem,Dem,Split,Split,Split,Split
Wyoming,Rep,Rep,Rep,Rep,Rep,Rep
Key:,Rep,,= Both legislative chambers have Republican majorities,,,
,Dem,,= Both legislative chambers have Democratic majorities,,,
,Split,,= Neither party had majorities in both legislative chambers,,,
= Nebraska is a non-partisan unicameral legislature,,,,,,
